feature_rank,gene_name_norm,gene_name,gene_id,train_prevalence,mean_log2_tpm_train,variance_log2_tpm_train
513,MAB21L4,MAB21L4,ENSG00000172478,0.9972222222222222,3.8840288311426017,2.4294186304176892
514,FNDC1,FNDC1,ENSG00000164694,1.0,3.4282437419472425,2.429019036255257
515,KCNE4,KCNE4,ENSG00000152049,1.0,3.1551342478287756,2.4286895105218007
516,IFI27,IFI27,ENSG00000165949,1.0,7.109932363755789,2.428306381945954
517,SDCBP2,SDCBP2,ENSG00000125775,1.0,3.8252979828299596,2.4274729290853374
518,NXPH4,NXPH4,ENSG00000182379,0.9861111111111112,1.9538503179377493,2.425032038672155
519,PTN,PTN,ENSG00000105894,1.0,3.586514292028097,2.4243305583868127
520,FAM107A,FAM107A,ENSG00000168309,1.0,2.6369315067793013,2.421627988765508
521,FLRT3,FLRT3,ENSG00000125848,0.9972222222222222,4.334041447590148,2.4204562091663626
522,SELENBP1,SELENBP1,ENSG00000143416,1.0,7.01530605558527,2.4195026035216323
523,DSP,DSP,ENSG00000096696,1.0,6.307455140910235,2.4183541269770643
524,TPSAB1,TPSAB1,ENSG00000172236,1.0,4.436179132339219,2.4161328133361146
525,TMPRSS3,TMPRSS3,ENSG00000160183,0.9972222222222222,2.529593331173845,2.415338650947076
526,REEP6,REEP6,ENSG00000115255,1.0,4.478267059549172,2.4148990804011157
527,RAP1GAP,RAP1GAP,ENSG00000076864,1.0,5.1998925877594555,2.414880377767631
528,CXCL11,CXCL11,ENSG00000169248,0.9972222222222222,3.096064308797923,2.4145657280041046
529,SCNN1G,SCNN1G,ENSG00000166828,0.9888888888888889,3.2287495716245287,2.412634609535764
530,HOXB7,HOXB7,ENSG00000260027,1.0,3.856027413651943,2.4112145378834975
531,MT1G,MT1G,ENSG00000125144,1.0,3.4717300128153297,2.405517507288666
532,TP63,TP63,ENSG00000073282,0.9805555555555555,1.9831718847727189,2.4048259733901207
533,PNMA8A,PNMA8A,ENSG00000182013,0.9972222222222222,2.8841784786879123,2.404812627925697
534,SPOCK1,SPOCK1,ENSG00000152377,0.9888888888888889,2.16309796083535,2.401742830868482
535,CDHR3,CDHR3,ENSG00000128536,0.9555555555555556,1.7913751061203405,2.3990863852430553
536,DDIT4L,DDIT4L,ENSG00000145358,1.0,2.782722501543597,2.398843698159306
537,HYAL1,HYAL1,ENSG00000114378,1.0,3.79428256894099,2.3975504788765436
538,MYRF,MYRF,ENSG00000124920,1.0,3.033322918758194,2.3958265197375885
539,KIF12,KIF12,ENSG00000136883,0.9833333333333333,3.214436916890269,2.3935453730227687
540,CEACAM7,CEACAM7,ENSG00000007306,0.9055555555555556,1.5284416973993078,2.390202581610093
541,SPTB,SPTB,ENSG00000070182,0.9666666666666667,2.092935833503334,2.389584037974955
542,ERICH5,ERICH5,ENSG00000177459,0.9722222222222222,2.798695083227997,2.388524577931646
543,ASPHD1,ASPHD1,ENSG00000174939,1.0,3.256865334503467,2.3870825225618257
544,BNIPL,BNIPL,ENSG00000163141,1.0,2.93710212559137,2.3793509877235817
545,ALDH3B2,ALDH3B2,ENSG00000132746,0.9888888888888889,2.836029046422854,2.3788206215709375
546,SLC29A4,SLC29A4,ENSG00000164638,1.0,3.2523831457852035,2.3782659285651024
547,CHI3L2,CHI3L2,ENSG00000064886,0.9972222222222222,3.5157595325327757,2.3773213713987658
548,CPE,CPE,ENSG00000109472,1.0,6.449594783618209,2.374761054479135
549,XDH,XDH,ENSG00000158125,0.9916666666666667,2.903178391184522,2.3685126730016797
550,BAIAP2L2,BAIAP2L2,ENSG00000128298,1.0,2.560836635450592,2.364235285672356
551,EGR1,EGR1,ENSG00000120738,1.0,7.4255853016009095,2.359499260527402
552,LRRC10B,LRRC10B,ENSG00000204950,0.9944444444444445,2.3628121200832717,2.353527958849622
