feature_rank,gene_name_norm,gene_name,gene_id,train_prevalence,mean_log2_tpm_train,variance_log2_tpm_train
154,FOXQ1,FOXQ1,ENSG00000164379,0.9888888888888889,4.618579125390567,4.087487537646382
155,HLA-DQA2,HLA-DQA2,ENSG00000237541,0.9972222222222222,6.105366910876045,4.087015523683928
156,TUBB2B,TUBB2B,ENSG00000137285,0.9972222222222222,2.7442133074740447,4.06578470975835
157,PCSK1N,PCSK1N,ENSG00000102109,0.9861111111111112,3.589731071216938,4.06320894763045
158,FAM83A,FAM83A,ENSG00000147689,0.9944444444444445,4.919068912504425,4.023427724646982
159,S100A9,S100A9,ENSG00000163220,1.0,9.228155795694818,4.008659955043302
160,SFTA2,SFTA2,ENSG00000196260,1.0,7.867715885474048,4.005878930056233
161,FDCSP,FDCSP,ENSG00000181617,0.95,3.4397313427832077,4.00201839884701
162,CLIC6,CLIC6,ENSG00000159212,1.0,6.000053551277332,3.9909391746030014
163,CST6,CST6,ENSG00000175315,1.0,5.095800367385171,3.9804590347701625
164,VSTM2L,VSTM2L,ENSG00000132821,1.0,5.985316217275091,3.970392554048404
165,FXYD4,FXYD4,ENSG00000150201,0.8888888888888888,1.9768402375022602,3.9513687767894505
166,MMP28,MMP28,ENSG00000271447,1.0,3.955497054277958,3.9468684791196886
167,CHIT1,CHIT1,ENSG00000133063,1.0,3.7921297738819773,3.9379207665619647
168,S100A2,S100A2,ENSG00000196754,0.9972222222222222,4.944084231831824,3.909458994163374
169,APOH,APOH,ENSG00000091583,0.9361111111111111,2.9857284001615407,3.9020883925800343
170,CP,CP,ENSG00000047457,1.0,6.127062104898456,3.9020116045208995
171,AQP1,AQP1,ENSG00000240583,1.0,7.498760684999256,3.897163268940863
172,APOD,APOD,ENSG00000189058,1.0,5.351843257715327,3.893567478950694
173,FGFBP1,FGFBP1,ENSG00000137440,0.9777777777777777,3.3751340058595276,3.8925208493071706
174,SLC7A2,SLC7A2,ENSG00000003989,1.0,4.263283683821111,3.8880283195551133
175,SFRP2,SFRP2,ENSG00000145423,1.0,6.7809680646625115,3.871244313624143
176,DNAJC12,DNAJC12,ENSG00000108176,0.9972222222222222,3.975309151947535,3.869759907026057
177,GCNT3,GCNT3,ENSG00000140297,0.9972222222222222,3.373382252973428,3.8364332811959674
178,PTGS2,PTGS2,ENSG00000073756,1.0,4.842814444702286,3.819318839967218
179,SERPINA1,SERPINA1,ENSG00000197249,1.0,8.502622149870609,3.805407680170537
180,NR0B2,NR0B2,ENSG00000131910,0.9388888888888889,2.5673726048441408,3.8040789904384473
181,NPTX1,NPTX1,ENSG00000171246,0.9694444444444444,2.1850166390552044,3.8037017045865973
182,LRRN4,LRRN4,ENSG00000125872,0.9888888888888889,3.5995429942609647,3.791186166663201
183,UPK3B,UPK3B,ENSG00000243566,0.9805555555555555,2.74215386674849,3.7894522101897894
184,ORM2,ORM2,ENSG00000228278,0.9861111111111112,3.02160865448718,3.7846337871596325
185,GJB3,GJB3,ENSG00000188910,0.9777777777777777,2.947320591493453,3.7800398309447396
186,AMBP,AMBP,ENSG00000106927,0.9305555555555556,2.2333852638691623,3.7799788271626023
187,KRT16,KRT16,ENSG00000186832,0.925,2.522643533295554,3.767825968331207
188,CRTAC1,CRTAC1,ENSG00000095713,0.9888888888888889,3.7071490856399922,3.767711175478725
189,RASD1,RASD1,ENSG00000108551,1.0,6.299882992198113,3.767073824367649
190,SPINK5,SPINK5,ENSG00000133710,0.9916666666666667,2.8960067856805134,3.7602776978632866
191,CXCL5,CXCL5,ENSG00000163735,0.9805555555555555,2.8896470273723303,3.737404465091633
192,FABP4,FABP4,ENSG00000170323,0.9888888888888889,2.895718067237574,3.72047493608282
193,NLRP2,NLRP2,ENSG00000022556,0.9805555555555555,2.7964778490737046,3.714391616837268
194,TRIM29,TRIM29,ENSG00000137699,0.9472222222222222,2.4369587888793247,3.6928122170164595
195,SNCG,SNCG,ENSG00000173267,1.0,4.854895969951525,3.678977496342549
196,TMPRSS4,TMPRSS4,ENSG00000137648,0.9916666666666667,4.433162611060836,3.67764465752395
197,CXCL9,CXCL9,ENSG00000138755,1.0,5.725050915636844,3.6581584953168162
198,HABP2,HABP2,ENSG00000148702,0.9583333333333334,3.202185673730373,3.6460265270988277
199,UCN3,UCN3,ENSG00000178473,0.8527777777777777,2.2384125434019526,3.6429403643226568
200,PIP,PIP,ENSG00000159763,0.8833333333333333,2.4391723645232655,3.6394438947438443
201,CD1A,CD1A,ENSG00000158477,0.9833333333333333,2.9454670890024257,3.6332540517970653
202,ELAPOR1,ELAPOR1,ENSG00000116299,1.0,4.119577232365737,3.616498285453896
203,SLC6A14,SLC6A14,ENSG00000268104,0.9944444444444445,5.038017134516757,3.6132474339953635
204,SCTR,SCTR,ENSG00000080293,0.9611111111111111,3.442112295102577,3.6086210557307363
205,TNC,TNC,ENSG00000041982,1.0,5.845077222553328,3.6032296858528166
206,CDH17,CDH17,ENSG00000079112,0.9555555555555556,1.6588593672685763,3.5880905171856914
207,C7,C7,ENSG00000112936,0.9944444444444445,4.64107580433379,3.5819029600642627
208,CRYM,CRYM,ENSG00000103316,0.9805555555555555,3.4898207831702885,3.5614218303968914
209,MUC3A,MUC3A,ENSG00000169894,0.975,2.399134301391818,3.546992075404738
210,NPW,NPW,ENSG00000183971,0.95,2.10908771666755,3.533340552763496
211,KRT4,KRT4,ENSG00000170477,0.9055555555555556,2.2270210482478814,3.5196235276174592
212,HBA2,HBA2,ENSG00000188536,0.9944444444444445,4.08098512540481,3.512094888530326
213,GJB2,GJB2,ENSG00000165474,1.0,4.524994780565129,3.5088589501302425
214,ATP13A4,ATP13A4,ENSG00000127249,0.9805555555555555,3.8787785902049676,3.507832918992537
215,SCGB2A1,SCGB2A1,ENSG00000124939,0.9166666666666666,2.63392308983486,3.5034673460514183
216,QPCT,QPCT,ENSG00000115828,1.0,4.706208139327895,3.501169814604299
217,LRRK2,LRRK2,ENSG00000188906,1.0,3.7249028967790485,3.491809273664898
218,AC007906.2,AC007906.2,ENSG00000277639,0.9916666666666667,2.7291304248456965,3.482894419991997
219,AQP3,AQP3,ENSG00000165272,1.0,8.296953955835155,3.471320426548478
220,ABCA3,ABCA3,ENSG00000167972,1.0,6.014392775878512,3.468891802417412
221,HHIPL2,HHIPL2,ENSG00000143512,0.8833333333333333,2.037143490142287,3.456008089730602
222,TSPAN1,TSPAN1,ENSG00000117472,1.0,6.567936234048073,3.4489653255342425
223,MUC4,MUC4,ENSG00000145113,0.9888888888888889,3.4458175887513955,3.4478538073849823
224,CHI3L1,CHI3L1,ENSG00000133048,1.0,6.444069638379275,3.447504362001841
225,CXCL17,CXCL17,ENSG00000189377,0.9972222222222222,8.885884780873273,3.4442096065410506
226,C9ORF24,C9orf24,ENSG00000164972,0.9833333333333333,2.237507673228685,3.4402755389262567
227,FOXJ1,FOXJ1,ENSG00000129654,0.9944444444444445,4.9511359225713685,3.4279696798273696
228,AGT,AGT,ENSG00000135744,1.0,3.6144389465024207,3.422953537428393
229,ADH1B,ADH1B,ENSG00000196616,0.9444444444444444,3.2167696312796634,3.4094995150909684
230,NDNF,NDNF,ENSG00000173376,1.0,5.318568576081175,3.4078733238363275
231,BPIFA2,BPIFA2,ENSG00000131050,0.8805555555555555,2.0319870250027736,3.406630780721278
232,AGR2,AGR2,ENSG00000106541,1.0,8.473560070308336,3.4046576200863887
233,MCEMP1,MCEMP1,ENSG00000183019,0.9916666666666667,2.873606577429847,3.400650195933285
234,GJB1,GJB1,ENSG00000169562,0.9305555555555556,3.032942339843542,3.3953339189702856
235,RHOV,RHOV,ENSG00000104140,1.0,4.5825144385493175,3.3938813258128246
236,PRR15,PRR15,ENSG00000176532,0.9916666666666667,3.1036043207218342,3.392017888826718
237,VTCN1,VTCN1,ENSG00000134258,0.9527777777777777,2.4746090160335594,3.3912069039588566
238,IGFBP2,IGFBP2,ENSG00000115457,1.0,6.013474341987415,3.3887167678284307
239,MFSD4A,MFSD4A,ENSG00000174514,0.9972222222222222,3.8078944436191065,3.3837769101145536
240,SPDEF,SPDEF,ENSG00000124664,0.9972222222222222,5.284557939651682,3.3820242487388223
241,PODXL2,PODXL2,ENSG00000114631,1.0,5.506905963742775,3.378758018186093
242,CACNG4,CACNG4,ENSG00000075461,0.9472222222222222,2.9956819457763215,3.374959754849964
243,PLA2G2A,PLA2G2A,ENSG00000188257,0.9888888888888889,2.4030964007989515,3.3736740531045477
244,CA12,CA12,ENSG00000074410,1.0,3.342723801085092,3.3601831342922615
245,CDKN2A,CDKN2A,ENSG00000147889,0.9972222222222222,2.868045701177331,3.3561431846007506
246,MMP10,MMP10,ENSG00000166670,0.9555555555555556,2.3277256599007314,3.3525600451584143
247,PRSS21,PRSS21,ENSG00000007038,0.9416666666666667,2.4626087251945017,3.3456530055216547
248,ABCC2,ABCC2,ENSG00000023839,0.975,1.3659710652909138,3.345267399189702
249,NMU,NMU,ENSG00000109255,0.9972222222222222,3.0346432988820533,3.343723233132844
250,KLK13,KLK13,ENSG00000167759,0.8916666666666667,1.8137844131724141,3.3430471588987465
251,PLEKHS1,PLEKHS1,ENSG00000148735,0.9666666666666667,3.0650562746592263,3.334480928651148
252,RETN,RETN,ENSG00000104918,0.9805555555555555,2.819451377886359,3.333937280712196
253,ROS1,ROS1,ENSG00000047936,0.9888888888888889,4.312628441650096,3.32415981002119
254,ALOX15,ALOX15,ENSG00000161905,0.9222222222222223,2.0565026100654906,3.3212688284488703
255,KRT15,KRT15,ENSG00000171346,1.0,3.8161235596353733,3.318495403406743
256,HOPX,HOPX,ENSG00000171476,1.0,6.289431464721115,3.313519417275367
257,ANKRD1,ANKRD1,ENSG00000148677,0.9583333333333334,2.0829569612402294,3.3000456856291014
258,SLC16A9,SLC16A9,ENSG00000165449,0.9833333333333333,3.1945930917003538,3.290698699626379
259,CCL19,CCL19,ENSG00000172724,0.9972222222222222,5.657822170576114,3.286786160782156
260,DDC,DDC,ENSG00000132437,0.9,1.7533545313442531,3.280076635136085
261,COL10A1,COL10A1,ENSG00000123500,1.0,4.8661680892744625,3.2790263273661284
262,ARSL,ARSL,ENSG00000157399,0.9916666666666667,4.106623389155633,3.267243183099522
263,HLA-DQB2,HLA-DQB2,ENSG00000232629,1.0,5.969894347963552,3.2654669588372798
264,FAM3B,FAM3B,ENSG00000183844,0.9944444444444445,3.8717102063775886,3.26426913155816
265,PLA2G10,PLA2G10,ENSG00000069764,0.9972222222222222,3.4571701464256352,3.263052093900107
266,ABCA4,ABCA4,ENSG00000198691,0.9722222222222222,2.2127513846930422,3.258695948311276
267,LPL,LPL,ENSG00000175445,1.0,4.5246774602866076,3.2457195228133764
268,GABRP,GABRP,ENSG00000094755,0.8777777777777778,1.6443571721482562,3.2366967230522
269,CCL18,CCL18,ENSG00000275385,1.0,7.088077690899476,3.2362443709952204
270,ANGPTL4,ANGPTL4,ENSG00000167772,1.0,5.139348569307967,3.2222498119454612
271,FAM216B,FAM216B,ENSG00000179813,0.8861111111111111,2.025188083987782,3.2095528718899127
272,WDR38,WDR38,ENSG00000136918,0.8944444444444445,2.1031558272109683,3.2012578242464964
273,MET,MET,ENSG00000105976,1.0,6.13883974413723,3.1982773435918004
274,H2AW,H2AW,ENSG00000181218,1.0,3.9842207393510534,3.1822045354674375
275,S100A8,S100A8,ENSG00000143546,1.0,5.559927089347544,3.1784874023549663
276,SOX9,SOX9,ENSG00000125398,1.0,4.052112942129737,3.1702521044692435
277,HSD17B6,HSD17B6,ENSG00000025423,1.0,4.21076216474758,3.16203087610774
278,CAPN8,CAPN8,ENSG00000203697,0.9944444444444445,5.1604667483816575,3.158864758173999
279,CDH3,CDH3,ENSG00000062038,1.0,5.1189394196710385,3.155843937032107
280,ST6GALNAC1,ST6GALNAC1,ENSG00000070526,0.9972222222222222,5.331366459973474,3.155706625319192
281,NCCRP1,NCCRP1,ENSG00000188505,0.975,2.202308980054743,3.154702068833356
282,NQO1,NQO1,ENSG00000181019,1.0,7.1877208425374315,3.153261453669984
283,LYZ,LYZ,ENSG00000090382,1.0,8.58180662150195,3.1514248599941763
284,FCN3,FCN3,ENSG00000142748,1.0,3.3622589992212664,3.141809090632658
285,FCER1A,FCER1A,ENSG00000179639,0.9944444444444445,3.1907226874369377,3.134434275379888
286,CAPSL,CAPSL,ENSG00000152611,0.8666666666666667,2.1423416815288627,3.130620082168078
287,RNF128,RNF128,ENSG00000133135,1.0,3.997304900358759,3.1245386885464637
288,SLITRK6,SLITRK6,ENSG00000184564,0.9527777777777777,2.756255281471272,3.117922743474746
289,GPC3,GPC3,ENSG00000147257,1.0,4.441600011606658,3.1073604938810377
290,MUCL3,MUCL3,ENSG00000168631,0.9305555555555556,2.099255012889778,3.0986363070537317
291,SYT12,SYT12,ENSG00000173227,0.9555555555555556,2.40791095835701,3.093035480434631
292,FOXA2,FOXA2,ENSG00000125798,0.9861111111111112,4.5372002550940245,3.0930275949300614
293,BMP3,BMP3,ENSG00000152785,0.9833333333333333,3.2039258652116387,3.0909130281194845
294,C1ORF116,C1orf116,ENSG00000182795,1.0,6.509438954674153,3.0892436160974435
295,SLC16A14,SLC16A14,ENSG00000163053,1.0,3.3439067668588107,3.0715282933495542
296,HTR3A,HTR3A,ENSG00000166736,0.925,2.228119403285944,3.066596630400368
297,CLDN9,CLDN9,ENSG00000213937,0.9833333333333333,3.0729530230631332,3.062149409083174
298,PDZK1IP1,PDZK1IP1,ENSG00000162366,0.9972222222222222,6.7608521905428045,3.061043885125309
299,DPP4,DPP4,ENSG00000197635,1.0,4.124596743094561,3.057169497119328
300,LYPD3,LYPD3,ENSG00000124466,1.0,3.3982964591092135,3.054671081944057
301,KCNN4,KCNN4,ENSG00000104783,1.0,5.027797521594491,3.0495540815450735
302,PGGHG,PGGHG,ENSG00000142102,1.0,5.643984137547,3.048863100475926
303,EYA2,EYA2,ENSG00000064655,0.9972222222222222,2.7132710969835707,3.036408508105074
304,LMO3,LMO3,ENSG00000048540,0.9916666666666667,4.617413729916967,3.0317969296867653
305,GGT6,GGT6,ENSG00000167741,0.9611111111111111,3.253601335362881,3.026010927145815
306,PLAT,PLAT,ENSG00000104368,1.0,4.872015502364647,3.02548134728477
307,CXCL1,CXCL1,ENSG00000163739,1.0,5.007994609031277,3.025262251527253
308,HAS3,HAS3,ENSG00000103044,1.0,3.8582190330322654,3.021903361480443
309,ENPP3,ENPP3,ENSG00000154269,0.9722222222222222,2.4183363870245445,3.018725388992599
310,C5ORF38,C5orf38,ENSG00000186493,0.9833333333333333,3.1902902382847107,3.0118472112194326
311,SCNN1B,SCNN1B,ENSG00000168447,0.9972222222222222,5.094051404003082,3.0081754110492382
312,FGFR3,FGFR3,ENSG00000068078,1.0,3.9100608752808506,3.000753493603154
313,JCHAIN,JCHAIN,ENSG00000132465,1.0,9.052391618092766,2.9988892727634675
314,CCL17,CCL17,ENSG00000102970,0.9972222222222222,3.2447791612484718,2.994021641786371
315,CAPN6,CAPN6,ENSG00000077274,0.9305555555555556,1.7131680319164753,2.9890029910975993
316,INMT,INMT,ENSG00000241644,1.0,4.066902852636177,2.988820771907512
317,CPA3,CPA3,ENSG00000163751,1.0,4.806203822252861,2.985999730442157
318,AADAC,AADAC,ENSG00000114771,0.9416666666666667,2.158211756815918,2.9824529505235846
319,BCAS1,BCAS1,ENSG00000064787,0.9888888888888889,2.5911391929036958,2.9807678944008087
320,C15ORF48,C15orf48,ENSG00000166920,1.0,4.399795711229208,2.9794695979414345
321,TMEM100,TMEM100,ENSG00000166292,0.9888888888888889,2.7547785181113533,2.975228357485892
322,TPPP3,TPPP3,ENSG00000159713,1.0,5.013292898749408,2.9733112585131103
323,NOTUM,NOTUM,ENSG00000185269,0.9972222222222222,2.1049281145601344,2.9692182434665004
324,CXCL6,CXCL6,ENSG00000124875,0.9388888888888889,2.16129565895734,2.9633562257327246
325,PRG4,PRG4,ENSG00000116690,0.9694444444444444,1.9495751589105834,2.961913643238681
326,TMPRSS6,TMPRSS6,ENSG00000187045,0.9888888888888889,2.292958124344974,2.9484764774377243
327,KLK10,KLK10,ENSG00000129451,0.925,2.2547536762296057,2.947352261482234
328,UBE2C,UBE2C,ENSG00000175063,1.0,5.744433807052991,2.9462941279298245
329,TPSB2,TPSB2,ENSG00000197253,0.9972222222222222,4.4373640794629425,2.9394635954457184
330,SCEL,SCEL,ENSG00000136155,0.9944444444444445,4.77566589280039,2.9333266669793034
331,GAL,GAL,ENSG00000069482,0.8777777777777778,1.6838267754948284,2.9308732704577154
332,FCGBP,FCGBP,ENSG00000275395,0.9972222222222222,3.4943992959264856,2.9274661151657635
333,RRAD,RRAD,ENSG00000166592,1.0,5.113712105009872,2.9263430608134615
334,RBP4,RBP4,ENSG00000138207,0.9972222222222222,2.9603269012817006,2.9223122999402813
335,NMNAT2,NMNAT2,ENSG00000157064,0.9666666666666667,2.3150548592592886,2.9212721007440923
336,H2AC8,H2AC8,ENSG00000277075,0.9694444444444444,2.4055058408877645,2.9195502542577887
337,ALDH1A1,ALDH1A1,ENSG00000165092,1.0,6.224131582007939,2.9117585411493003
338,CXCL10,CXCL10,ENSG00000169245,1.0,5.717171293920795,2.9081671530988955
339,C9ORF135,C9orf135,ENSG00000204711,0.875,2.068010843508039,2.9042351164748443
340,LAMP3,LAMP3,ENSG00000078081,1.0,5.889283607410322,2.9035796459452703
341,C1ORF194,C1orf194,ENSG00000179902,0.9388888888888889,2.140074544157626,2.8962844498364326
342,CXCL8,CXCL8,ENSG00000169429,1.0,5.277262911817616,2.895355824522898
343,IL20RB,IL20RB,ENSG00000174564,1.0,2.1500441531377765,2.8944689367317236
344,FAM183A,FAM183A,ENSG00000186973,0.9666666666666667,2.971045655058111,2.8935239144439824
345,CAPN9,CAPN9,ENSG00000135773,0.9916666666666667,2.668088804412118,2.890997252290128
346,LDLRAD1,LDLRAD1,ENSG00000203985,0.9388888888888889,2.581525860539207,2.890644920299272
347,COL1A1,COL1A1,ENSG00000108821,1.0,9.290817524581085,2.8883992567063723
348,QPRT,QPRT,ENSG00000103485,1.0,4.971493976537434,2.8844987116906364
349,EDN2,EDN2,ENSG00000127129,0.9888888888888889,2.8339433725777132,2.883836536370697
350,SLC5A1,SLC5A1,ENSG00000100170,0.8638888888888889,2.1932443921711813,2.8795894112356595
351,CLIC5,CLIC5,ENSG00000112782,1.0,2.9996748175300754,2.8778467153802887
352,DES,DES,ENSG00000175084,0.9916666666666667,3.0511306749871525,2.8696442676390768
353,LRRC15,LRRC15,ENSG00000172061,1.0,3.1052903869197053,2.8647777083730555
354,VGLL1,VGLL1,ENSG00000102243,0.8972222222222223,2.1710296348046616,2.8569072470077055
355,NRGN,NRGN,ENSG00000154146,1.0,5.3543504034617415,2.856705724227029
356,GDF15,GDF15,ENSG00000130513,1.0,6.260473105555234,2.8537642109703456
357,MYBL2,MYBL2,ENSG00000101057,1.0,5.08868566579587,2.8502064669147003
358,MT1A,MT1A,ENSG00000205362,0.9805555555555555,2.734273560291789,2.8475087005710353
359,MMP9,MMP9,ENSG00000100985,1.0,5.537763881257062,2.8467916124187105
360,CCL13,CCL13,ENSG00000181374,1.0,4.857161235012151,2.845411008257829
361,SLC7A11,SLC7A11,ENSG00000151012,1.0,2.864644366679191,2.8437100727248175
362,CD79A,CD79A,ENSG00000105369,1.0,5.373086954062747,2.8427925987546443
363,MYBPH,MYBPH,ENSG00000133055,0.9,1.7577569353073974,2.8422288793141246
364,ZNF385B,ZNF385B,ENSG00000144331,0.975,2.459955998455724,2.842026423715796
365,PITX1,PITX1,ENSG00000069011,0.9472222222222222,3.0889283259315565,2.8407432154869947
366,C4BPB,C4BPB,ENSG00000123843,0.9805555555555555,2.4579204464888735,2.837603107078785
367,TNNC1,TNNC1,ENSG00000114854,1.0,3.7369218663516097,2.836936849917438
368,SLC44A4,SLC44A4,ENSG00000204385,1.0,6.581985587595073,2.8354641855249487
369,CAPN13,CAPN13,ENSG00000162949,0.9916666666666667,3.9360273669323345,2.8278988306550663
370,SLC22A3,SLC22A3,ENSG00000146477,0.9972222222222222,4.389007028702531,2.8268896194403292
371,HS6ST2,HS6ST2,ENSG00000171004,0.9972222222222222,4.249987281017055,2.815607787791809
372,LRRC31,LRRC31,ENSG00000114248,0.9333333333333333,2.21278953468494,2.808050788378878
373,WFDC3,WFDC3,ENSG00000124116,1.0,2.92820176487661,2.8045098822255548
374,PLA2G4A,PLA2G4A,ENSG00000116711,1.0,4.98125683914168,2.801847162337808
375,VEGFD,VEGFD,ENSG00000165197,0.9583333333333334,2.3959327833031674,2.8010964589505303
376,SIX2,SIX2,ENSG00000170577,0.9583333333333334,2.2784256185239506,2.799072528976012
377,NKX2-1,NKX2-1,ENSG00000136352,0.9888888888888889,6.672999988618884,2.79840003729963
378,SHISA2,SHISA2,ENSG00000180730,0.9972222222222222,2.698569455260282,2.79579245201187
379,LGSN,LGSN,ENSG00000146166,0.875,2.9708035088797917,2.7938215423350665
380,LEMD1,LEMD1,ENSG00000186007,0.9638888888888889,2.71292669211305,2.7900143051100925
381,MRC1,MRC1,ENSG00000260314,1.0,5.248468849897531,2.7884474368010337
382,GJB5,GJB5,ENSG00000189280,0.9027777777777778,1.8466161060610444,2.7848916458455717
383,FOXA3,FOXA3,ENSG00000170608,0.9944444444444445,2.802119993493431,2.7838542331316822
384,P3H2,P3H2,ENSG00000090530,1.0,3.5966498574221255,2.7796666145023234
385,GALNT14,GALNT14,ENSG00000158089,1.0,3.233958758457518,2.77962921203432
386,POF1B,POF1B,ENSG00000124429,0.9861111111111112,2.8666779399733406,2.778871863339038
387,MUC15,MUC15,ENSG00000169550,0.975,3.266203628002028,2.7785770642200287
388,DUOX1,DUOX1,ENSG00000137857,1.0,3.434750959602848,2.7780600282388033
389,NT5E,NT5E,ENSG00000135318,1.0,5.05592281747523,2.76815228834294
390,ACHE,ACHE,ENSG00000087085,1.0,2.934083540317107,2.767766390286511
391,KCNJ15,KCNJ15,ENSG00000157551,0.9972222222222222,3.3525863251036956,2.7656613046607905
392,B4GALNT4,B4GALNT4,ENSG00000182272,0.9694444444444444,2.459754435182183,2.7644959949894976
393,BAMBI,BAMBI,ENSG00000095739,1.0,4.267567461988686,2.761779102113054
394,WFDC2,WFDC2,ENSG00000101443,1.0,9.191867749386297,2.761711513639262
395,KIT,KIT,ENSG00000157404,1.0,4.458376248229842,2.759768533058172
396,XKRX,XKRX,ENSG00000182489,1.0,3.204466549102711,2.7558825838544427
397,TSPAN7,TSPAN7,ENSG00000156298,1.0,3.735791481144456,2.746147532716423
398,HLA-DRB5,HLA-DRB5,ENSG00000198502,1.0,9.0632061203158,2.7445184319034004
399,CHRDL1,CHRDL1,ENSG00000101938,0.9944444444444445,3.5022347493421018,2.733638804749105
400,ZG16B,ZG16B,ENSG00000162078,1.0,2.262237163542333,2.726782529734365
401,CLDN8,CLDN8,ENSG00000156284,0.8583333333333333,1.994417056538651,2.7239773333220536
402,PCSK9,PCSK9,ENSG00000169174,0.9722222222222222,2.308830729736677,2.722045063934838
403,AIM2,AIM2,ENSG00000163568,0.9972222222222222,3.2259870893050633,2.7163812431111567
404,SPAG6,SPAG6,ENSG00000077327,0.8805555555555555,2.174584505595969,2.715863570973694
405,DACT2,DACT2,ENSG00000164488,0.8666666666666667,2.311942330225925,2.711634149132463
406,ADGRF5,ADGRF5,ENSG00000069122,1.0,6.288239944830446,2.710299455924785
407,MYBPHL,MYBPHL,ENSG00000221986,0.9277777777777778,2.248855334036643,2.7049986424359247
408,FOSL1,FOSL1,ENSG00000175592,1.0,3.518217214096241,2.7039729878870125
409,CX3CL1,CX3CL1,ENSG00000006210,1.0,5.181453510366085,2.6991537858328045
410,ANPEP,ANPEP,ENSG00000166825,1.0,4.284611135540726,2.6970436635960353
411,PDIA2,PDIA2,ENSG00000185615,0.875,1.3587980929203958,2.696990594858665
412,ZNF750,ZNF750,ENSG00000141579,0.9888888888888889,3.3380830932719148,2.6938500098402356
413,PHACTR3,PHACTR3,ENSG00000087495,0.9638888888888889,2.1889325886469293,2.692466582928404
414,PTPRH,PTPRH,ENSG00000080031,0.9805555555555555,2.9166465274771043,2.691889756075599
415,PPP1R14C,PPP1R14C,ENSG00000198729,0.9944444444444445,4.213425843630412,2.6810887435104336
416,IDO1,IDO1,ENSG00000131203,1.0,4.269994403125407,2.6757206184305367
417,MT1M,MT1M,ENSG00000205364,0.9972222222222222,3.6144381201735634,2.671820131246947
418,CILP,CILP,ENSG00000138615,0.9944444444444445,2.753962650549413,2.669669090431504
419,MZB1,MZB1,ENSG00000170476,1.0,5.084374174030454,2.6685945161456135
420,SYT8,SYT8,ENSG00000149043,0.9694444444444444,2.230107212685758,2.6675895326782264
421,DUSP4,DUSP4,ENSG00000120875,1.0,4.536334232668956,2.6638251026079085
422,CLDN3,CLDN3,ENSG00000165215,1.0,7.281995163374289,2.662144175973772
423,B3GNT3,B3GNT3,ENSG00000179913,1.0,5.165732921656767,2.6591706280415215
424,CAPS,CAPS,ENSG00000105519,1.0,4.8497006188570895,2.653645359056591
425,SYT7,SYT7,ENSG00000011347,1.0,4.2257624380944545,2.651617704723101
426,ZMYND10,ZMYND10,ENSG00000004838,0.9972222222222222,2.4156616354145157,2.6447231584192354
427,PRODH,PRODH,ENSG00000100033,0.9777777777777777,3.0721531955691277,2.6429225066936355
428,CAV1,CAV1,ENSG00000105974,1.0,6.336462146986542,2.64082969318675
429,PLAU,PLAU,ENSG00000122861,1.0,6.3376027206659895,2.6319166805329526
430,C3,C3,ENSG00000125730,1.0,8.187605934197654,2.627175614345263
431,PLA2G12B,PLA2G12B,ENSG00000138308,0.8694444444444445,2.2230712154670726,2.6251471248203213
432,FABP6,FABP6,ENSG00000170231,0.9916666666666667,2.9450883316079723,2.6223343129694654
433,CLIC3,CLIC3,ENSG00000169583,1.0,5.3869496958486325,2.6197015699089965
434,NEFH,NEFH,ENSG00000100285,0.9833333333333333,1.5017902011544613,2.6159722628236275
435,COL12A1,COL12A1,ENSG00000111799,1.0,4.404574823691164,2.6148250340170676
436,MFAP4,MFAP4,ENSG00000166482,1.0,6.5515707356815405,2.613727914090581
437,C2CD4A,C2CD4A,ENSG00000198535,0.9916666666666667,2.906207842308915,2.6092715073187667
438,METTL7B,METTL7B,ENSG00000170439,1.0,4.5984459130825615,2.609128310525059
439,PALM3,PALM3,ENSG00000187867,0.9861111111111112,3.1476056852732994,2.607495069676945
440,ACKR1,ACKR1,ENSG00000213088,0.9944444444444445,3.792480415234511,2.606657630068801
441,ATOH8,ATOH8,ENSG00000168874,0.9972222222222222,3.032705195284593,2.5988322624262707
442,GNG4,GNG4,ENSG00000168243,0.9333333333333333,1.6239599739334263,2.598449740549642
443,FABP3,FABP3,ENSG00000121769,1.0,4.615381673983659,2.5958363617468914
444,AHNAK2,AHNAK2,ENSG00000185567,1.0,3.559518178083338,2.594684748592105
445,GREM1,GREM1,ENSG00000166923,0.9777777777777777,2.928657290326049,2.593488327167111
446,SCG5,SCG5,ENSG00000166922,0.9972222222222222,3.2724360994067805,2.5896562535894123
447,CLDN1,CLDN1,ENSG00000163347,1.0,5.597138454532253,2.5805514844653374
448,THBS2,THBS2,ENSG00000186340,1.0,4.663040371097765,2.579828554451787
449,TREM1,TREM1,ENSG00000124731,1.0,4.748860921290961,2.577273549999457
450,MB,MB,ENSG00000198125,0.9888888888888889,3.142384452596088,2.567601804114149
451,ZBTB16,ZBTB16,ENSG00000109906,0.9694444444444444,2.212897956252554,2.5668696724685227
452,ADAMDEC1,ADAMDEC1,ENSG00000134028,0.9972222222222222,3.165262840312609,2.56470759373487
453,CHIA,CHIA,ENSG00000134216,0.9111111111111111,1.9403479261959724,2.564304667270383
454,C5ORF49,C5orf49,ENSG00000215217,0.9916666666666667,2.4895932093618898,2.562691807330897
