gene_name_norm,gdc_abs_log2_fc,gdc_neg_log10_p,gdc_neg_log10_fdr,sample_prevalence_score,expression_evidence_score,network_context_score,geo_component_score,de_priority_gate,degree_gene,weighted_degree_gene,pagerank,betweenness_centrality,pca_1,pca_2,cluster_id,target_score_raw,target_penalty_reason,target_penalty_factor,target_score,target_rank,evidence_level,gene_name,gene_id,count_tumor,count_normal,mean_raw_tumor,mean_raw_normal,mean_log_tumor,mean_log_normal,gdc_log2_fc,gdc_p_value,gdc_adj_p_value,gdc_expression_status,count_advanced,count_early,mean_advanced,mean_early,geo_stage_diff_advanced_vs_early,geo_p_value,geo_adj_p_value,protein_count,geo_direction_match,geo_validation_status,geo_validation_bonus,coefficient,model_importance,importance_type,model_importance_rank,encoded_by_gene,protein_target,protein_target_cluster,isolation_priority_score,gmm_rarity_score,cluster_priority_score,evidence_prior_score,protein_ml_priority_score,protein_ml_rank
CALML5,5.19507577783531,4.758699763913816,4.416725029685506,0.23529411764705882,0.23529411764705882,0.30833407801986473,0.6,1.0,3710.0,1154.29,0.0004979036856554944,0.010953573640177941,13.572723321032369,1.7068027184017465,4,0.3060687912820173,none,1.0,0.3060687912820173,5392,background,CALML5,ENSG00000178372,247.0,8.0,51.96367408906883,0.44578750000000006,1.5805171434493674,0.47174488838360595,5.19507577783531,1.7430114341351204e-05,3.830672026975009e-05,FDR Up-regulated,275.0,580.0,0.01252114391547035,0.0005477811558727086,0.011973362759597643,0.8813074277288978,0.9371387685118,1.0,True,geo_weak_signal,0.5,,,,,CALML5,CALML5 protein,6,0.9994662238301406,0.9993476069035051,0.8333333333333334,0.29509961758773606,0.9272707977686083,21
ANLN,3.3080510413487656,27.97412690982798,26.11459950246308,0.6666666666666666,0.6666666666666666,0.1041043548509434,0.2,1.0,1968.0,618.8969999999998,0.0001045123719139279,0.0006859929481346679,3.386012300734433,3.9540404569194023,3,0.4729029580672075,none,1.0,0.4729029580672075,558,background,ANLN,ENSG00000011426,492.0,24.0,26.90095528455285,1.8170624999999998,4.161722569581827,1.4255567514992515,3.3080510413487656,1.0613853531293383e-28,7.680694609061705e-27,FDR Up-regulated,,,,,,,,1.0,False,missing_geo,0.0,0.0066337898354071586,0.0066337898354071586,absolute_coefficient,276.0,ANLN,ANLN protein,4,0.9932981436450982,0.9932388351817805,0.75,0.41785111486175436,0.9254799921467484,22
GAPDH,1.6556000231347634,18.983502151195044,17.687058417570828,0.6666666666666666,0.5315626703682288,0.47002925265467377,1.0,1.0,9423.0,2868.319000000001,0.0004232189644199059,0.0038276589829137598,20.551781472074644,-0.20382111046923632,4,0.5950461177309342,housekeeping_gene,0.35,0.20826614120582695,10774,background,GAPDH,ENSG00000111640,492.0,24.0,1787.064778861789,566.5419666666668,10.534289481886434,9.104820268509272,1.6556000231347634,1.0387184573157282e-19,2.0556140738028748e-18,FDR Up-regulated,318.0,662.0,0.36881833136778724,0.00014664807421608272,0.36867168329357114,8.422634197461473e-09,8.90440318820549e-07,1.0,True,validated,1.0,,,,,GAPDH,GAPDH protein,3,0.9999406915366823,0.9995255322934583,0.9166666666666666,0.1705680358243119,0.9245727694504622,23
KIF14,2.0770737586909767,55.91360151649351,52.98774818376657,0.6470588235294118,0.5813808660555398,0.12274646403379001,1.0,1.0,2395.0,770.8190000000001,0.00010401540396953644,0.0007416780406430088,4.980458303603104,6.291104226919175,3,0.5465580655761175,none,1.0,0.5465580655761175,179,exploratory,KIF14,ENSG00000118193,492.0,22.0,4.722339227642277,0.35616363636363635,2.139898745925192,0.42862077330273946,2.0770737586909767,1.2201085865818054e-56,1.028612543917791e-53,FDR Up-regulated,337.0,764.0,0.3964601762185857,0.006024495223402996,0.3904356809951827,7.295203923708963e-10,1.471641591519108e-07,1.0,True,validated,1.0,,,,,KIF14,KIF14 protein,4,0.9994069153668228,0.9998813830733646,0.75,0.39172381475402857,0.9242213874703177,24
NPM1,0.6818247823210533,15.31597322538122,14.273497382402624,0.6666666666666666,0.37575863183803515,0.17360244289751448,1.0,0.2,2469.0,846.43,0.0002207524012928612,0.0038896629511677282,6.658371361572217,0.41479265346197713,0,0.40891184728688434,none,1.0,0.40891184728688434,1466,background,NPM1,ENSG00000181163,492.0,24.0,188.00158353658534,116.81910833333332,7.404364792481775,6.869093557317133,0.6818247823210533,4.830885839377856e-16,5.327244351716809e-15,Not significant,275.0,580.0,0.2855870835279877,0.01027224115838682,0.27531484236960085,0.00010715439946528168,0.001343365041883955,1.0,True,validated,1.0,,,,,NPM1,NPM1 protein,3,0.9868928296067849,0.9798944309352945,0.9166666666666666,0.21345289922310642,0.922830175847576,25
HIF1A,0.6625441680890136,4.17195803386733,3.8641527978524874,0.6666666666666666,0.3726737335609088,0.2519362106542942,1.0,0.2,4087.0,1277.4659999999994,0.00031523898157896147,0.0044840322009908,10.195205496807615,-1.2379288790129626,0,0.4105692920674494,none,1.0,0.4105692920674494,1425,background,HIF1A,ENSG00000100644,492.0,24.0,139.8189983739837,87.9642625,6.8895545251530415,6.377344690611735,0.6625441680890136,6.730416895587286e-05,0.00013672477021264726,Not significant,320.0,708.0,0.2035131393091433,-0.001378842430205037,0.20489198173934833,0.002847645180226537,0.016498497793531818,1.0,True,validated,1.0,,,,,HIF1A,HIF1A protein,3,0.9897989443093529,0.9838087895142636,0.9166666666666666,0.19234813230128428,0.9205473199076607,26
STAT1,0.8110761006866545,5.607831606033986,5.215432562977874,0.6666666666666666,0.39643884277653135,0.2324896661342649,1.0,0.2,2830.0,968.428,0.00040042657010661253,0.0038067277070063694,8.671175024708258,-0.7529435153983864,0,0.4234974074536292,none,1.0,0.4234974074536292,1166,background,STAT1,ENSG00000115415,492.0,24.0,133.45729857723583,75.63482083333332,6.748777590474738,6.1984340656846015,0.8110761006866545,2.466995708268288e-06,6.089300927698961e-06,Not significant,320.0,707.0,0.25677530225220835,0.002572187788562541,0.2542031144636458,0.0001711248961311359,0.0019255889681287553,1.0,True,validated,1.0,,,,,STAT1,STAT1 protein,3,0.9873672973133266,0.9770476246960441,0.9166666666666666,0.20500132597046086,0.9203376606456812,27
KIF20A,2.6610638645850093,17.11112424263041,15.94380433214076,0.6666666666666666,0.6666666666666666,0.12062575454078882,1.0,1.0,1963.0,654.6419999999999,0.00015140162371358085,0.0008305372308158933,4.2054022726324805,3.069996610881798,0,0.5965376659989735,none,1.0,0.5965376659989735,15,high,KIF20A,ENSG00000112984,492.0,24.0,17.77824512195122,1.968895833333333,3.819853580735539,1.4357764553266248,2.6610638645850093,7.742402720572186e-18,1.1381399500572591e-16,FDR Up-regulated,259.0,555.0,0.4546623598670939,-4.228707906362173e-10,0.4546623602899647,4.246366189154624e-11,2.243496803270026e-08,1.0,True,validated,1.0,0.00622548650405109,0.00622548650405109,absolute_coefficient,316.0,KIF20A,Kinesin-like protein KIF20A,4,0.9822074610046854,0.9836308641243106,0.75,0.4219927339859054,0.9189763478062757,28
HSPA9,0.5068807336884138,8.830499106006553,8.243600025657223,0.6666666666666666,0.34776758405681285,0.214598252573247,1.0,0.2,3738.0,1041.9599999999998,0.0002748640791827324,0.004818537685774947,9.023165846933189,-0.7791443204473069,0,0.3944808551995076,none,1.0,0.3944808551995076,1847,background,HSPA9,ENSG00000113013,492.0,24.0,84.45337256097561,59.13715833333334,6.291793706195814,5.89449106452141,0.5068807336884138,1.4774095228280578e-09,5.706896211776377e-09,Not significant,337.0,766.0,0.22309328976172943,0.0030642711753456485,0.22002901858638377,0.0008358309489401682,0.006453405969722454,1.0,True,validated,1.0,,,,,HSPA9,HSPA9 protein,3,0.9832157048810866,0.9834529387343574,0.9166666666666666,0.18984752299625568,0.9171635177194126,29
HJURP,2.951136661291515,22.149292395091663,20.63589960979469,0.6666666666666666,0.6666666666666666,0.07219521682115534,1.0,1.0,717.0,273.52099999999996,0.00013659932845096513,0.0012546917652411283,2.1113396868995076,4.087133956776129,3,0.5858829477006541,none,1.0,0.5858829477006541,47,high,HJURP,ENSG00000123485,492.0,24.0,14.408741869918698,0.9924458333333334,3.4122176079038744,0.8861664428936272,2.951136661291515,7.09100195170401e-23,2.3125993018893874e-21,FDR Up-regulated,277.0,626.0,0.375659026114761,0.01127167332240718,0.3643873527923538,1.4448814025039056e-07,7.124870738124814e-06,1.0,True,validated,1.0,0.0030077077717668337,0.0030077077717668337,absolute_coefficient,961.0,HJURP,HJURP protein,4,0.985825277267066,0.9865369788268786,0.75,0.40179975504488324,0.9168937055706058,30
