gene_name_norm,coefficient,model_importance,importance_type,gdc_abs_log2_fc,gdc_neg_log10_p,gdc_neg_log10_fdr,sample_prevalence_score,expression_evidence_score,network_context_score,geo_component_score,de_priority_gate,degree_gene,weighted_degree_gene,pagerank,betweenness_centrality,pca_1,pca_2,cluster_id,target_score_raw,target_penalty_reason,target_penalty_factor,target_score,target_rank,evidence_level,model_importance_rank
ABCC3,0.013016985192835792,0.013016985192835792,absolute_coefficient,2.46324589154578,20.6498504257571,19.24904190006701,0.6666666666666666,0.6607860093139915,0.03653328000832177,0.0,1.0,953.0,234.00199999999995,3.20235704600542e-05,1.8956627236882015e-05,0.2033940089818751,2.695839511536926,3,0.42462654033727915,none,1.0,0.42462654033727915,1147,background,18
PPBP,-0.012958490930701139,0.012958490930701139,absolute_coefficient,2.0018109949525895,7.207981933622122,6.721540250180971,0.5718157181571816,0.5034463652693744,0.052565495159424616,0.2,1.0,992.0,289.7970000000001,6.891317534608713e-05,4.8576357294510164e-05,0.6120756406468122,1.108140465635238,3,0.36215408669916965,none,1.0,0.36215408669916965,2867,background,19
FOLR2,0.012956397913095436,0.012956397913095436,absolute_coefficient,0.11734967701181237,2.6195205719238155,2.4050104107553887,0.6666666666666666,0.2516222213817847,0.027803511915718823,0.6,0.2,736.0,181.597,2.2873596349314124e-05,0.0,-0.34515817154591777,-0.5308207161436146,1,0.27049757625906007,none,1.0,0.27049757625906007,7331,background,20
TINCR,-0.012873379251005719,0.012873379251005719,absolute_coefficient,1.5425280658971303,16.952947491110596,15.798314060333192,0.6395663956639567,0.4925983459414999,0.0042983908293762075,0.2,1.0,45.0,13.185,1.0898822979633988e-05,0.0,-1.451618018328949,1.9128399622624093,3,0.34863100641173056,none,1.0,0.34863100641173056,3308,background,21
MGAT3,-0.012702189032894877,0.012702189032894877,absolute_coefficient,2.9788980666957685,23.569512359569142,21.96999488777096,0.6666666666666666,0.6666666666666666,0.02278959475754453,0.6,1.0,353.0,89.487,4.8101738199062674e-05,0.0,-0.16083375250732143,4.218168310573032,3,0.5150137108466597,none,1.0,0.5150137108466597,318,exploratory,22
MYRF,-0.012586024524975589,0.012586024524975589,absolute_coefficient,1.7177528471842791,15.746492348238615,14.670696311475192,0.6666666666666666,0.5415071222161513,0.021462746537084028,0.2,1.0,472.0,114.17799999999998,3.051580954724982e-05,0.0,-0.6141048744890054,1.8454470742616218,3,0.38212926845685957,none,1.0,0.38212926845685957,2245,background,23
ETV4,0.01240051209625648,0.01240051209625648,absolute_coefficient,3.542492499037897,24.000496648292167,22.36689938692171,0.6666666666666666,0.6666666666666666,0.03248867235934552,0.0,1.0,811.0,207.283,2.91582930579364e-05,0.0,0.12838255507927526,4.070245517052282,3,0.4271475079190559,none,1.0,0.4271475079190559,1105,background,24
ZBED2,-0.012342180541653473,0.012342180541653473,absolute_coefficient,2.2828568892062955,12.127005434182692,11.321561496011824,0.6653116531165312,0.6306393710353251,0.006885963973217193,0.2,1.0,178.0,37.99400000000001,9.117064070845642e-06,0.0,-1.263010007598626,2.136014719846573,3,0.4305513299304229,none,1.0,0.4305513299304229,1051,background,25
H2BC5,0.01233646961326991,0.01233646961326991,absolute_coefficient,2.439137480446702,14.44360906659463,13.461250249773798,0.6666666666666666,0.656928663538139,0.08431938256285211,0.2,1.0,1303.0,469.1360000000001,0.00010895062609707716,4.620677888989991e-05,1.8909365263988955,2.0400136188356295,3,0.46290222234928136,none,1.0,0.46290222234928136,638,background,26
FERMT1,0.012127883363891857,0.012127883363891857,absolute_coefficient,2.576013515733097,15.80161044340371,14.721165250298567,0.6666666666666666,0.6666666666666666,0.01776710272362123,0.6,1.0,401.0,98.29299999999999,2.3394599944835436e-05,0.0,-0.4438405687568926,3.126722922567545,3,0.5139087625991966,none,1.0,0.5139087625991966,330,exploratory,27
TMSB15A,-0.012063107824173042,0.012063107824173042,absolute_coefficient,1.1509687799461514,5.915651026444435,5.505936270434574,0.6639566395663956,0.44898906303748964,0.009540445570278047,0.6,0.65,303.0,59.748,9.117064070845642e-06,0.0,-1.0456667358425353,0.8839773296275326,1,0.38497577225661356,none,1.0,0.38497577225661356,2161,background,28
ARHGEF26,-0.01182722891146697,0.01182722891146697,absolute_coefficient,2.621720400113275,17.194437663377137,16.019863434633546,0.6666666666666666,0.6666666666666666,0.01257821560798639,0.2,1.0,338.0,75.55000000000001,1.3613395087383836e-05,0.0,-0.8706421545702598,2.8973068844966514,3,0.452767207433757,none,1.0,0.452767207433757,761,background,29
LTF,0.011704084254673305,0.011704084254673305,absolute_coefficient,1.29157774794494,0.5589147148922783,0.4939980028654363,0.6639566395663956,0.2552917405572996,0.10938245424745786,0.2,0.2,1760.0,496.67400000000004,0.0001959783947723417,0.00010189187139824083,2.800654664952151,-0.5770581770241955,0,0.21607986948844166,none,1.0,0.21607986948844166,10510,background,30
SULT2B1,-0.011580405066129664,0.011580405066129664,absolute_coefficient,0.5429395474981011,9.961909013719218,9.302052051487362,0.6612466124661247,0.3506627097601323,0.031591536942513064,0.0,0.2,394.0,114.214,7.15431857658323e-05,0.0,-0.6689044538278726,-0.09213051603351029,2,0.23783672990965354,none,1.0,0.23783672990965354,9524,background,31
HS3ST2,0.01156908898918877,0.01156908898918877,absolute_coefficient,0.2985204690093141,1.5332665613914582,1.3902838382089149,0.6626016260162602,0.18293135778544198,0.01673557068374902,1.0,0.2,354.0,88.49399999999994,2.4059863680588827e-05,0.0,-0.6947572840180423,0.05153064671769372,1,0.28996663392645433,none,1.0,0.28996663392645433,6232,background,32
COL17A1,0.011519899519264978,0.011519899519264978,absolute_coefficient,3.054205318691943,8.730299626107227,8.149329572750155,0.6626016260162602,0.6626016260162602,0.039038417320784655,0.6,1.0,859.0,229.86099999999996,4.453572830907771e-05,0.0,0.47758742563031176,2.772232171726786,3,0.5160274762008165,none,1.0,0.5160274762008165,307,exploratory,33
CCN5,-0.011503185089640086,0.011503185089640086,absolute_coefficient,2.236928527806321,11.661301072015766,10.888652639373113,0.6639566395663956,0.6220363074119557,0.014504287206281352,0.2,1.0,437.0,96.58600000000004,1.101667282407258e-05,0.0,-0.8578284612308867,1.9935238401900461,3,0.427169833462636,none,1.0,0.427169833462636,1104,background,34
COL10A1,0.011374243005532912,0.011374243005532912,absolute_coefficient,3.6366399865926065,12.516784195168578,11.684352547603877,0.6666666666666666,0.6666666666666666,0.04461356974863309,1.0,1.0,940.0,259.003,5.244427146024472e-05,1.6587048832271762e-05,1.0659191797770098,4.087127867909924,3,0.5798149853446992,none,1.0,0.5798149853446992,66,medium,35
KLRG2,-0.011220434172833608,0.011220434172833608,absolute_coefficient,0.8696109265680978,8.666045115833988,8.089954827095003,0.6341463414634146,0.38600907760451053,0.00986429378939175,0.2,0.2,252.0,62.40199999999999,9.117064070845642e-06,0.0,-1.3215471727437706,0.4483478007488773,2,0.28602661101052007,none,1.0,0.28602661101052007,6416,background,36
GPD1,-0.011202081813455656,0.011202081813455656,absolute_coefficient,3.6355356878072893,18.004944539930424,16.774134866024784,0.6666666666666666,0.6666666666666666,0.057921077934032825,0.6,1.0,1334.0,336.9860000000001,6.808372300607171e-05,0.0,1.5916616812137256,4.071739815088912,3,0.5227426371454872,none,1.0,0.5227426371454872,254,exploratory,37
COL3A1,0.011106385231752704,0.011106385231752704,absolute_coefficient,2.5722256987859913,9.094435744145676,8.492556016769623,0.6666666666666666,0.6666666666666666,0.09642154392384568,1.0,1.0,1790.0,494.71299999999997,0.00014436753888728368,0.00010544623900515621,3.1415916339128582,2.4072861640507264,0,0.591212739663246,none,1.0,0.591212739663246,27,high,38
ADM2,0.011087640077254596,0.011087640077254596,absolute_coefficient,2.6908237610409236,20.019209307331664,18.66038234076379,0.6666666666666666,0.6666666666666666,0.022697075812379546,0.6,1.0,275.0,78.43199999999999,5.280213255457695e-05,2.369578404610252e-05,-0.29284765222386877,3.6096606889913736,3,0.5149933566787235,none,1.0,0.5149933566787235,319,exploratory,39
IL1A,-0.011084849539044336,0.011084849539044336,absolute_coefficient,0.8891041567264595,9.857571663714012,9.204372028416893,0.6327913279132791,0.38814470716246824,0.15591409175951004,0.2,0.2,2552.0,821.6300000000001,0.0002171492132952115,0.000508274567788899,4.864711433053534,-0.37006064238242314,0,0.29362371658731395,none,1.0,0.29362371658731395,6054,background,40
FAM189A2,-0.011048920793957487,0.011048920793957487,absolute_coefficient,2.6285226887133364,19.027654799973217,17.72505075764418,0.6558265582655827,0.6558265582655827,0.017586681650010615,0.2,1.0,453.0,110.81200000000001,1.647313060390962e-05,0.0,-0.61621979428614,3.046508491413831,3,0.44703980167031937,none,1.0,0.44703980167031937,851,background,41
SCD,-0.011045741932521513,0.011045741932521513,absolute_coefficient,0.8473719706903837,13.280786601542395,12.391562164177621,0.6666666666666666,0.402246181977128,0.07399256641609187,0.0,0.2,1401.0,383.44500000000005,0.00010976845947456346,2.8434940855323022e-05,1.4144715499693004,0.2293240904601609,0,0.2698917918023756,none,1.0,0.2698917918023756,7373,background,42
SLC1A1,-0.011022840857048102,0.011022840857048102,absolute_coefficient,2.1707211666923505,15.34083740946631,14.295797669020166,0.6666666666666666,0.6139820533374427,0.039214242763396454,0.6,1.0,917.0,229.49799999999993,4.542772536934316e-05,0.0,0.530226353363253,2.554908678143269,3,0.4880700576769973,none,1.0,0.4880700576769973,486,exploratory,43
ANOS1,-0.010966416121361084,0.010966416121361084,absolute_coefficient,2.737203326965109,17.278466057597576,16.097687516452698,0.6666666666666666,0.6666666666666666,0.02896163403705716,0.2,1.0,505.0,140.68099999999998,4.779866336033243e-05,0.0,-0.2356134627904103,2.9155324660199518,3,0.45637155948815256,none,1.0,0.45637155948815256,697,background,44
S100A12,-0.010832503643973514,0.010832503643973514,absolute_coefficient,1.7048265988349771,5.61521845955273,5.222501415104433,0.6517615176151762,0.5273782961646474,0.05798680586128325,0.2,1.0,1607.0,402.93999999999994,3.573740930418145e-05,0.0,1.1418676794632319,0.620192663554335,3,0.3812245849457366,none,1.0,0.3812245849457366,2271,background,45
VIPR1,-0.010814403482279434,0.010814403482279434,absolute_coefficient,3.167975219776249,9.408868001575005,8.78793583074896,0.6626016260162602,0.6626016260162602,0.027410826170923455,1.0,1.0,505.0,135.246,4.408442244110662e-05,7.1087352138307555e-06,0.15378704025018983,3.4589377858841925,3,0.573469406147847,none,1.0,0.573469406147847,105,exploratory,46
BIRC7,0.010765140085267189,0.010765140085267189,absolute_coefficient,0.17076140886248992,0.03658953110033753,0.030598451928939934,0.6585365853658537,0.030201371741223164,0.03073327978813626,0.2,0.2,737.0,177.24799999999996,3.6896451460901514e-05,0.0,-0.5173647305720658,-1.1803405469070571,2,0.08179588918888012,none,1.0,0.08179588918888012,15607,background,47
OASL,-0.01064313878571026,0.01064313878571026,absolute_coefficient,0.9142268488442895,8.94384391584516,8.35042904303383,0.6666666666666666,0.41294296248175294,0.09008837145121998,0.2,0.2,2310.0,601.977,6.705245946169441e-05,2.1326205641492267e-05,2.576272470248946,-0.01934131423712255,0,0.3068041399166037,none,1.0,0.3068041399166037,5341,background,48
FAM167A,-0.010624323249963563,0.010624323249963563,absolute_coefficient,1.8902548728606101,13.314073261495935,12.421040078207563,0.6653116531165312,0.5679507238724855,0.0178425712972149,0.2,1.0,311.0,79.722,3.288333563387853e-05,0.0,-0.8521252744539732,1.8068258345771695,3,0.39660236818725536,none,1.0,0.39660236818725536,1781,background,49
CRABP2,0.010474005285454967,0.010474005285454967,absolute_coefficient,5.522582925461936,21.906440132006338,20.41033907928181,0.6666666666666666,0.6666666666666666,0.028532034918417992,0.6,1.0,649.0,153.96600000000004,3.948867438508889e-05,0.0,0.4643706597371304,6.425931937948843,3,0.5162770476820518,none,1.0,0.5162770476820518,304,exploratory,50
ADAM8,0.010471407180023758,0.010471407180023758,absolute_coefficient,2.026533635312953,13.26235702473408,12.375521014004555,0.6666666666666666,0.5909120483167392,0.024826107701128284,0.6,1.0,725.0,160.11499999999998,2.1430510649577944e-05,0.0,-0.08497849309291153,2.3095101537177136,3,0.4715240650512903,none,1.0,0.4715240650512903,568,background,51
SEMA5A,-0.010359999024881961,0.010359999024881961,absolute_coefficient,2.466710980499189,14.958701144418445,13.946131713451928,0.6666666666666666,0.6613404235465368,0.026303441647124302,0.2,1.0,595.0,143.929,3.5420739071053106e-05,0.0,-0.30914048791626786,2.4482810236840082,3,0.45269753615269204,none,1.0,0.45269753615269204,764,background,52
COL12A1,-0.01034616285265998,0.01034616285265998,absolute_coefficient,0.030127575668614872,4.533623891733671,4.204367654633196,0.6666666666666666,0.27148707877364503,0.05038409703410255,0.2,0.2,1065.0,272.324,6.918275699192242e-05,2.014141643918714e-05,0.3712518453712188,-1.0155116306143317,2,0.22301273929154794,none,1.0,0.22301273929154794,10265,background,53
C13ORF46,-0.010310172040023066,0.010310172040023066,absolute_coefficient,2.3850427109464833,21.145188959255,19.700594284847014,0.6056910569105691,0.5889801924530336,0.0028396915746450673,0.2,1.0,25.0,4.833999999999999,9.117064070845642e-06,0.0,-1.363295329104802,3.1184082809432945,3,0.40251779661470977,none,1.0,0.40251779661470977,1632,background,54
