gene_name_norm,gene_name,gene_id,count_tumor,count_normal,mean_raw_tumor,mean_raw_normal,mean_log_tumor,mean_log_normal,gdc_log2_fc,gdc_abs_log2_fc,gdc_p_value,gdc_adj_p_value,gdc_neg_log10_fdr,gdc_expression_status,count_advanced,count_early,mean_advanced,mean_early,geo_stage_diff_advanced_vs_early,geo_p_value,geo_adj_p_value,degree_gene,weighted_degree_gene,protein_count,pagerank,betweenness_centrality,target_penalty_reason,target_penalty_factor,geo_direction_match,geo_validation_status,geo_validation_bonus,pca_1,pca_2,cluster_id,gdc_neg_log10_p,sample_prevalence_score,expression_evidence_score,network_context_score,geo_component_score,de_priority_gate,target_score_raw,target_score,target_rank,evidence_level
NDC80,NDC80,ENSG00000080986,492.0,24.0,12.023489837398374,1.2637583333333333,3.203782664874423,1.1112258654681877,2.524324234720143,2.524324234720143,2.4399021391821185e-23,8.430161878842151e-22,21.0741640858245,FDR Up-regulated,318.0,699.0,0.3498178856379979,0.00776638676567624,0.34205149887232167,1.5279664340772976e-07,7.37415914356413e-06,1318.0,419.21600000000007,1.0,0.00014549457263023015,0.0004751004701243555,none,1.0,True,validated,1.0,2.8240957986038744,3.6819746626627983,3,22.612627592212707,0.6666666666666666,0.6666666666666666,0.08899298738787023,1.0,1.0,0.5895784572253314,0.5895784572253314,30,high
EZH2,EZH2,ENSG00000106462,492.0,24.0,16.279834959349593,2.7936375000000004,3.787243317593266,1.859128330477861,2.18743570419222,2.18743570419222,5.031002508030171e-21,1.2049393932939873e-19,18.919034796923082,FDR Up-regulated,337.0,765.0,0.414817580430926,0.013488220601811323,0.40132935982911466,7.03418932808142e-10,1.4452653813900623e-07,3611.0,1123.323,1.0,0.00031122747842839946,0.0013506596906278435,none,1.0,True,validated,1.0,8.538438920705865,2.2391409352986344,0,20.298345466171888,0.6666666666666666,0.6166563793374218,0.21937453283537509,1.0,1.0,0.5892564305728204,0.5892564305728204,31,high
CCNE1,CCNE1,ENSG00000105173,492.0,24.0,13.568483536585369,1.3506375000000002,3.187973634665054,1.1726068649673145,2.6317267338965467,2.6317267338965467,5.2067497881154045e-25,2.328673956960579e-23,22.632891313786143,FDR Up-regulated,337.0,766.0,0.32141101587883636,0.007107270930964541,0.31430374494787183,7.027482843595816e-07,2.421426153717254e-05,1675.0,505.7899999999999,1.0,0.00010161503709404322,0.00012440286624203822,none,1.0,True,validated,1.0,2.9395081634071456,3.9810006045535506,3,24.283433291971267,0.6666666666666666,0.6666666666666666,0.08730029327429031,1.0,1.0,0.5892060645203437,0.5892060645203437,32,high
KIF2C,KIF2C,ENSG00000142945,492.0,24.0,20.66010162601626,1.7214458333333333,3.8932366094123596,1.308106392184306,2.9925947852906383,2.9925947852906383,2.60691940118813e-21,6.492654065499713e-20,19.187577736114907,FDR Up-regulated,320.0,708.0,0.39994675973230187,0.0017197605065927752,0.3982269992257091,1.0461667527992912e-09,2.0012448486738165e-07,1066.0,376.8599999999999,1.0,0.00015916272453182212,0.00022629473764027906,none,1.0,True,validated,1.0,2.52321956321103,3.9853603382939187,3,20.58387239582068,0.6666666666666666,0.6666666666666666,0.08618407615480181,1.0,1.0,0.5889604967540564,0.5889604967540564,33,high
CENPF,CENPF,ENSG00000117724,492.0,24.0,15.804798780487806,1.4940833333333332,3.56190018503957,1.2625860329181544,2.752291693014665,2.752291693014665,2.51765256875939e-27,1.5606669103622087e-25,24.80668977754469,FDR Up-regulated,337.0,766.0,0.39246827472576135,0.008106093602036138,0.3843621811237252,2.1934381002703897e-09,3.526984887318837e-07,1321.0,404.9660000000002,1.0,0.00014079925680537112,0.0004288936912344556,none,1.0,True,validated,1.0,2.8069645587177527,4.297799178384778,3,26.59900420190141,0.6666666666666666,0.6666666666666666,0.08590728393563817,1.0,1.0,0.5888996024658403,0.5888996024658403,34,high
TK1,TK1,ENSG00000167900,492.0,24.0,114.3821524390244,17.97030416666667,6.388079002662894,4.071796694445572,2.604605366073571,2.604605366073571,4.888267764192523e-16,5.386998873990204e-15,14.268653115231823,FDR Up-regulated,337.0,766.0,0.40238773255285637,0.0007314992747597844,0.4016562332780966,2.4752515999352987e-10,6.367820996300158e-08,1498.0,442.50199999999995,1.0,0.0001194793261425165,0.0003980891719745223,none,1.0,True,validated,1.0,2.718307628775908,3.085120537502245,3,15.310845012805142,0.6666666666666666,0.6666666666666666,0.08510089840930228,1.0,1.0,0.5887221976500464,0.5887221976500464,35,high
PBK,PBK,ENSG00000168078,492.0,24.0,15.49835162601626,1.4034000000000002,3.428057964725359,1.1563456504222984,2.779173207357267,2.779173207357267,1.377807136210886e-19,2.6610774482991697e-18,17.57494248550893,FDR Up-regulated,277.0,626.0,0.33687711643922524,0.007878518163653526,0.3289985982755717,1.920658458957849e-06,5.520649119724698e-05,1474.0,398.6090000000001,1.0,0.00012063155090606262,0.0012001914619350926,none,1.0,True,validated,1.0,2.9309737729841925,3.5115151776390015,3,18.860811570194276,0.6666666666666666,0.6666666666666666,0.0832964047241861,1.0,1.0,0.5883252090393208,0.5883252090393208,36,high
ADRB2,ADRB2,ENSG00000169252,490.0,24.0,9.062399795918367,79.42726666666668,2.879935156239975,6.209606314695431,-2.9987102741026037,2.9987102741026037,3.042208482731469e-22,9.01488176227334e-21,20.045039965040193,FDR Down-regulated,320.0,708.0,-0.4201135135879667,-0.0006907169130304565,-0.41942279667493626,6.50232543410414e-09,7.361561295039331e-07,1443.0,428.022,1.0,0.00014530860312701673,0.0006516340612678193,none,1.0,True,validated,1.0,3.056558201489051,3.9889757708926816,3,21.516811027036038,0.6639566395663956,0.6639566395663956,0.09074068130517694,1.0,1.0,0.5882556328139682,0.5882556328139682,37,high
PLAU,PLAU,ENSG00000122861,492.0,24.0,162.8533268292683,25.821495833333334,6.428578426929233,4.679459333014514,2.6109433616085123,2.6109433616085123,5.838247621895243e-22,1.665629325766086e-20,19.778421641396058,FDR Up-regulated,337.0,766.0,0.42228212254329167,0.0012235702581578432,0.42105855228513384,1.3766000728238146e-09,2.4634480335451974e-07,1788.0,489.52000000000004,1.0,8.95125350839707e-05,6.160903851986655e-05,none,1.0,True,validated,1.0,2.823713481720542,3.6914118447563333,3,21.233717488905718,0.6666666666666666,0.6666666666666666,0.08207265752872794,1.0,1.0,0.58805598465632,0.58805598465632,38,high
TPX2,TPX2,ENSG00000088325,492.0,24.0,55.78494451219514,4.285141666666667,5.165613554906964,2.2094270246159398,3.425494428011551,3.425494428011551,3.1751032662297786e-19,5.812748770021748e-18,17.23561844706788,FDR Up-regulated,301.0,639.0,0.4857476343813838,0.003442998514704717,0.4823046358666791,9.058009881381975e-13,2.00997239267866e-09,1359.0,398.29,1.0,0.00013131005671240597,5.805467091295117e-05,none,1.0,True,validated,1.0,2.569957115831283,4.220995447368023,3,18.498242145261944,0.6666666666666666,0.6666666666666666,0.08124049764728242,1.0,1.0,0.587872909482402,0.587872909482402,39,high
